                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5108,                 1.7446,                  1.618,                 0.8564,                0.79175,                0.86563,                0.47247,                 1.5447,                 1.0549,                 1.6533,             0.00023776,             0.00023776,             0.00023776
                      2,                 1.4719,                 1.2425,                  1.637,                0.84404,                 0.7811,                0.84714,                0.49072,                 1.4937,                 1.1455,                 1.6039,             0.00045692,             0.00045692,             0.00045692
                      3,                 1.4452,                 1.1982,                 1.5991,                0.86595,                 0.8732,                0.88908,                 0.5157,                 1.4994,                 0.9106,                 1.6263,             0.00065723,             0.00065723,             0.00065723
                      4,                 1.3819,                  1.103,                 1.5536,                0.86945,                0.82391,                0.88198,                0.52635,                  1.413,                0.88085,                 1.5831,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.3416,                 1.0529,                 1.5239,                0.88387,                0.90237,                0.92887,                0.56828,                 1.3875,                0.74593,                 1.5482,             0.00062918,             0.00062918,             0.00062918
                      6,                 1.2973,                0.98296,                 1.4996,                0.90484,                0.92143,                0.93621,                0.60298,                 1.3151,                0.72599,                 1.4727,              0.0006009,              0.0006009,              0.0006009
                      7,                 1.2749,                0.92738,                 1.4651,                0.91669,                 0.9134,                0.93806,                0.62129,                 1.2591,                0.66906,                 1.4609,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.2282,                 0.8742,                 1.4401,                0.92423,                0.93299,                0.94598,                0.63754,                 1.2359,                 0.6443,                 1.4188,             0.00054435,             0.00054435,             0.00054435
                      9,                 1.2028,                0.84322,                 1.4066,                0.91665,                0.92969,                0.94909,                0.63676,                 1.2292,                0.62735,                 1.4262,             0.00051608,             0.00051608,             0.00051608
                     10,                 1.1706,                0.80534,                 1.3952,                0.92442,                0.93303,                 0.9502,                0.65189,                 1.1938,                0.61943,                 1.3821,              0.0004878,              0.0004878,              0.0004878
                     11,                 1.1362,                0.77901,                 1.3631,                0.93121,                0.93509,                0.95468,                 0.6594,                 1.1706,                 0.5919,                 1.3856,             0.00045953,             0.00045953,             0.00045953
                     12,                  1.124,                0.75572,                 1.3569,                0.94637,                0.93918,                0.95328,                0.65623,                 1.1653,                0.58499,                 1.3639,             0.00043126,             0.00043126,             0.00043126
                     13,                 1.1087,                0.73084,                  1.343,                0.93994,                0.93196,                0.95946,                0.67411,                 1.1526,                0.53756,                 1.3772,             0.00040298,             0.00040298,             0.00040298
                     14,                  1.079,                0.72228,                 1.3263,                0.94243,                  0.945,                0.96275,                0.68257,                 1.1227,                 0.5419,                 1.3412,             0.00037471,             0.00037471,             0.00037471
                     15,                  1.065,                0.69613,                  1.303,                0.94714,                0.93608,                0.95831,                0.67971,                  1.136,                 0.5365,                 1.3349,             0.00034643,             0.00034643,             0.00034643
                     16,                 1.0412,                0.55074,                 1.2981,                0.94319,                0.94143,                0.96176,                0.69298,                 1.0985,                0.52245,                 1.3322,             0.00031816,             0.00031816,             0.00031816
                     17,                 1.0028,                0.52297,                 1.2663,                0.94041,                0.94361,                 0.9619,                0.69603,                  1.098,                 0.5086,                 1.3284,             0.00028988,             0.00028988,             0.00028988
                     18,                 0.9702,                0.50668,                 1.2445,                0.94289,                0.93711,                0.96078,                0.69834,                 1.0866,                0.49836,                 1.3265,             0.00026161,             0.00026161,             0.00026161
                     19,                0.95236,                0.48205,                 1.2183,                0.94696,                0.94124,                0.96562,                0.70811,                 1.0707,                0.49138,                 1.2992,             0.00023334,             0.00023334,             0.00023334
                     20,                0.91796,                0.46226,                 1.1995,                0.95391,                0.93884,                0.96097,                0.70824,                 1.0607,                 0.4903,                 1.3074,             0.00020506,             0.00020506,             0.00020506
                     21,                0.90487,                0.45731,                 1.1858,                0.94979,                0.95361,                  0.958,                0.71102,                 1.0521,                0.48794,                 1.3045,             0.00017679,             0.00017679,             0.00017679
                     22,                0.88469,                0.44254,                 1.1743,                0.95037,                0.94749,                 0.9585,                0.71238,                 1.0445,                0.47846,                 1.2928,             0.00014851,             0.00014851,             0.00014851
                     23,                 0.8549,                0.42168,                 1.1454,                0.94905,                0.94097,                0.95841,                0.71648,                 1.0334,                0.46788,                 1.2894,             0.00012024,             0.00012024,             0.00012024
                     24,                0.83713,                0.41098,                 1.1399,                0.95314,                0.94363,                 0.9591,                  0.722,                 1.0382,                0.45707,                  1.298,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.82975,                0.40908,                 1.1279,                0.95319,                0.94457,                 0.9598,                0.72059,                 1.0417,                 0.4579,                 1.3103,             6.3689e-05,             6.3689e-05,             6.3689e-05
